# city|name|abbreviation|conference|division|quality|coach_tactical
Washington|Washington Capitals|WSH|EAST|METROPOLITAN|0.83|88
Toronto|Toronto Maple Leafs|TOR|EAST|ATLANTIC|0.84|86
Tampa Bay|Tampa Bay Lightning|TBL|EAST|ATLANTIC|0.80|83
Raleigh|Carolina Hurricanes|CAR|EAST|METROPOLITAN|0.79|85
Sunrise|Florida Panthers|FLA|EAST|ATLANTIC|0.81|84
Ottawa|Ottawa Senators|OTT|EAST|ATLANTIC|0.72|76
Newark|New Jersey Devils|NJD|EAST|METROPOLITAN|0.71|75
Montreal|Montreal Canadiens|MTL|EAST|ATLANTIC|0.68|72
Winnipeg|Winnipeg Jets|WPG|WEST|CENTRAL|0.87|89
Las Vegas|Vegas Golden Knights|VGK|WEST|PACIFIC|0.82|84
Dallas|Dallas Stars|DAL|WEST|CENTRAL|0.83|85
Los Angeles|Los Angeles Kings|LAK|WEST|PACIFIC|0.78|80
Denver|Colorado Avalanche|COL|WEST|CENTRAL|0.81|84
Edmonton|Edmonton Oilers|EDM|WEST|PACIFIC|0.80|83
Saint Paul|Minnesota Wild|MIN|WEST|CENTRAL|0.69|73
St. Louis|St. Louis Blues|STL|WEST|CENTRAL|0.70|74
